,Admission Date,Company Name,Ticker,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
1213,02/12/2014,RIVER AND MERCANTILE UK MICRO CAP INVESTMENT COMPANY LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,50.39
1214,13/12/2005,BLACKROCK ENERGY AND RESOURCES INCOME TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,50.38
1215,08/03/1999,MOBEUS INCOME & GROWTH 4 VCT PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,50.29
1216,16/10/1985,HENDERSON OPPORTUNITIES TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,50
1217,20/06/2018,TEKMAR GROUP PLC,,Energy,Energy,United Kingdom,Europe,AIM,No,49.98
1218,10/12/2010,TMT INVESTMENTS PLC,,Financials,Financial Services,Jersey,Europe,AIM,No,49.43
1219,11/10/2004,ALLERGY THERAPEUTICS PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,49.3
1220,28/04/2010,BAKER STEEL RESOURCES TRUST LIMITED,,Financials,Financial Services,Guernsey,Europe,MAIN MARKET,No,48.97
1221,30/12/2013,PANTHER SECURITIES PLC,,Real Estate,Real Estate,United Kingdom,Europe,AIM,No,48.63
1222,13/04/2006,THE MISSION GROUP PLC,,Consumer Discretionary,Media,United Kingdom,Europe,AIM,No,48.62
1223,09/02/2015,HSS HIRE GROUP PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,48.34
1224,26/03/2018,BACANORA LITHIUM PLC,,Basic Materials,Basic Resources,United Kingdom,Europe,AIM,No,48.16
1225,31/07/2015,MENHADEN PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,48
1226,19/06/2014,MPAC GROUP PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,47.91
1227,28/08/1992,ABERDEEN SMALLER COMPANIES INCOME TRUST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,47.87
1228,29/05/1997,PHAROS ENERGY PLC,,Energy,Energy,United Kingdom,Europe,MAIN MARKET,No,47.7
1229,30/07/2010,WATER INTELLIGENCE PLC,,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM,No,47.33
1230,25/03/1973,SMART (J.) & CO. (CONTRACTORS) PLC,,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET,No,47
1231,01/02/2005,SHEARWATER GROUP PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,46.87
