,Admission Date,Company Name,Ticker,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
1371,20/10/2014,THE FULHAM SHORE PLC,,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM,No,28.45
1372,18/05/2004,ZOLTAV RESOURCES INC,,Energy,Energy,Cayman Islands,North America,AIM,Yes,28.39
1373,05/09/2000,SPORTECH PLC,,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET,No,28.31
1374,02/03/2005,UK OIL & GAS PLC,,Energy,Energy,United Kingdom,Europe,AIM,No,28.2
1375,15/12/2003,INDIGOVISION GROUP PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,27.88
1376,22/08/2006,CLOUDCALL GROUP PLC,,Technology,Technology,United Kingdom,Europe,AIM,No,27.72
1377,28/05/2019,SDX ENERGY PLC,,Energy,Energy,United Kingdom,Europe,AIM,No,27.64
1378,13/03/2000,PARKMEAD GROUP (THE) PLC,,Energy,Energy,United Kingdom,Europe,AIM,No,27.63
1379,11/05/2012,EDEN RESEARCH PLC,,Basic Materials,Chemicals,United Kingdom,Europe,AIM,No,27.57
1380,18/02/2014,4D PHARMA PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,27.37
1381,15/08/2005,ROCKHOPPER EXPLORATION PLC,,Energy,Energy,United Kingdom,Europe,AIM,No,27.04
1382,22/05/2019,INDUCTION HEALTHCARE GROUP PLC,,Health Care,Health Care,United Kingdom,Europe,AIM,No,26.96
1383,30/11/2018,KROPZ PLC,,Basic Materials,Basic Resources,United Kingdom,Europe,AIM,No,26.92
